Nama Restoran,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Variasi Makanan
"Sego Saduk Suroboyo, Cokro","Jl Bumijo Lor No 24-22, Jetis, Yogyakarta",25000,4.7,Nasi Bebek Besar
"Sego Saduk Suroboyo, Cokro","Jl Bumijo Lor No 24-22, Jetis, Yogyakarta",25000,4.7,Ayam Kampung Penyet
Mangut Lele Mbah Marto,"Jalan Parangtritis Km 7, Panggungharjo, Sewon, Bantul, Jogja",8000,4.3,Mangut Lele
Mangut Lele Mbah Marto,"Jalan Parangtritis Km 7, Panggungharjo, Sewon, Bantul, Jogja",8000,4.3,Opor Ayam
Mangut Lele Mbah Marto,"Jalan Parangtritis Km 7, Panggungharjo, Sewon, Bantul, Jogja",8000,4.3,Garang Asem
Mangut Lele Mbah Marto,"Jalan Parangtritis Km 7, Panggungharjo, Sewon, Bantul, Jogja",8000,4.3,Gudeg
Mangut Lele & Sego Pecel Yu Temu,"Desa Bangunjiwo, Kasihan, Bantul, Jogja",15000,4.5,Mangut Lele
Mangut Lele & Sego Pecel Yu Temu,"Desa Bangunjiwo, Kasihan, Bantul, Jogja",15000,4.5,Nasi Pecel
Mangut Lele Bu Is,"Jalan Imogiri Barat No 12, Turi, Sumberagung, Jetis, Bantul, Jogja",20000,4.4,Mangut Lele
Mangut Lele Bu Is,"Jalan Imogiri Barat No 12, Turi, Sumberagung, Jetis, Bantul, Jogja",20000,4.4,Tempe Gembus Goreng
Mangut Lele Bu Is,"Jalan Imogiri Barat No 12, Turi, Sumberagung, Jetis, Bantul, Jogja",20000,4.4,Tumis Cabai
Mangut Lele Bu Is,"Jalan Imogiri Barat No 12, Turi, Sumberagung, Jetis, Bantul, Jogja",20000,4.4,Sambal Petis
Mangut Eyang Uti,"Jalan Raya Kadisoka, Maguwo, Purwomartani, Kalasan, Sleman, Jogja",13000,4.5,Mangut Lele
Mangut Eyang Uti,"Jalan Raya Kadisoka, Maguwo, Purwomartani, Kalasan, Sleman, Jogja",13000,4.5,Mangut Gurame
Mangut Eyang Uti,"Jalan Raya Kadisoka, Maguwo, Purwomartani, Kalasan, Sleman, Jogja",13000,4.5,Mangut Telur Bebek
Mangut Eyang Uti,"Jalan Raya Kadisoka, Maguwo, Purwomartani, Kalasan, Sleman, Jogja",13000,4.5,Mangut Ayam Kampung
Mangut Eyang Uti,"Jalan Raya Kadisoka, Maguwo, Purwomartani, Kalasan, Sleman, Jogja",13000,4.5,Mangut Nila
Pendopo Mangut Idaman,"Jalan Pekapalan No 7, Prawirodirjan, Gondomanan, Jogja",13000,4.3,Mangut Lele
Pendopo Mangut Idaman,"Jalan Pekapalan No 7, Prawirodirjan, Gondomanan, Jogja",13000,4.3,Mangut Ikan
Pecel Senggol Beringharjo,"Jl. Pabringan No.84, Ngupasan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55122",10000,4.5,Sego Pecel
Pecel Senggol Beringharjo,"Jl. Pabringan No.84, Ngupasan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55122",10000,4.5,Sate
Pecel Senggol Beringharjo,"Jl. Pabringan No.84, Ngupasan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55122",10000,4.5,Baceman
Pecel Bu Ramelan,"Jalan Laksda Adisucipto Km. 6, Nomor 2, Timur Hotel Ambarukmo, Jogja",6000,4.5,Sego Pecel
Pecel Bu Ramelan,"Jalan Laksda Adisucipto Km. 6, Nomor 2, Timur Hotel Ambarukmo, Jogja",6000,4.5,Soto
Warung SGPC Bu Wiryo,"Jalan Agro CT VIII Klebengan, Selokan Mataram, Jogja",20000,4.3,Sego Pecel
Warung SGPC Bu Wiryo,"Jalan Agro CT VIII Klebengan, Selokan Mataram, Jogja",20000,4.3,Sup
Pecel Wader Pak Bejo,"Jalan Wiroyo, Mantup, Baturetno, Banguntapan, Bantul",20000,4.5,Sego Pecel
Pecel Wader Pak Bejo,"Jalan Wiroyo, Mantup, Baturetno, Banguntapan, Bantul",20000,4.5,Ikan Wader Goreng
Pecel Wader Pak Bejo,"Jalan Wiroyo, Mantup, Baturetno, Banguntapan, Bantul",20000,4.5,Sambal Bawang
Pecel Pincuk Gumilang,"Jl. Laksda Adisucipto No.31, Ngentak, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",15000,4.5,Sego Pecel
Pecel Pincuk Gumilang,"Jl. Laksda Adisucipto No.31, Ngentak, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",15000,4.5,Empal
Pecel Pincuk Gumilang,"Jl. Laksda Adisucipto No.31, Ngentak, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",15000,4.5,Tahu
Pecel Pincuk Gumilang,"Jl. Laksda Adisucipto No.31, Ngentak, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",15000,4.5,Tempe Bacem
Ayam Goreng Mbok Berek,"Jl. Pugeran Timur No.24, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141",80000,4.6,Ayam Kalasan
Ayam Goreng Mbok Berek,"Jl. Pugeran Timur No.24, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141",80000,4.6,Kremesan
Ayam Goreng Mbok Berek,"Jl. Pugeran Timur No.24, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141",80000,4.6,Lalapan
Ayam Goreng Suharti,"Jl. Laksda Adisucipto No. 208, Caturtunggal, Sleman",63000,4.5,Ayam Kalasan
Ayam Goreng Suharti,"Jl. Laksda Adisucipto No. 208, Caturtunggal, Sleman",63000,4.5,Kremesan
Ayam Goreng Suharti,"Jl. Laksda Adisucipto No. 208, Caturtunggal, Sleman",63000,4.5,Sambal
Ayam Goreng Tojoyo,"Jl. Urip Sumoharjo No. 133, Klitren, Kota Yogyakarta",35000,4.6,Ayam Kalasan
Ayam Goreng Tojoyo,"Jl. Urip Sumoharjo No. 133, Klitren, Kota Yogyakarta",35000,4.6,Jeroan
Ayam Goreng Tojoyo,"Jl. Urip Sumoharjo No. 133, Klitren, Kota Yogyakarta",35000,4.6,Sup
Ayam Goreng Ny. Suharti,"Jl. Gedong Kuning No. 187, Kotagede, Yogyakarta",125000,4.6,Ayam Goreng Kalasan
Ayam Goreng Ny. Suharti,"Jl. Gedong Kuning No. 187, Kotagede, Yogyakarta",125000,4.6,Kremesan
Ayam Goreng Ny. Suharti,"Jl. Gedong Kuning No. 187, Kotagede, Yogyakarta",125000,4.6,Sayuran
Ayam Goreng Bugisan,"Jl. Bugisan No. 42, Ngestiharjo, Bantul, Yogyakarta",26500,4.3,Ayam Goreng Kalasan
Ayam Goreng Bugisan,"Jl. Bugisan No. 42, Ngestiharjo, Bantul, Yogyakarta",26500,4.3,Nasi
Ayam Goreng Bugisan,"Jl. Bugisan No. 42, Ngestiharjo, Bantul, Yogyakarta",26500,4.3,Sambal
Tengkleng Gajah,"Jalan Kaliurang Km. 9,3, Dusun Bulurejo, Minomartani, Ngaglik, Sleman",47000,4.5,Tengkleng Gajah Kuah
Tengkleng Gajah,"Jalan Kaliurang Km. 9,3, Dusun Bulurejo, Minomartani, Ngaglik, Sleman",47000,4.5,Tengkleng Gajah Sambal Bawang
Tengkleng Gajah,"Jalan Kaliurang Km. 9,3, Dusun Bulurejo, Minomartani, Ngaglik, Sleman",47000,4.5,Tongseng
Tengkleng Gajah,"Jalan Kaliurang Km. 9,3, Dusun Bulurejo, Minomartani, Ngaglik, Sleman",47000,4.5,Sate Goreng
Tengkleng Gajah,"Jalan Kaliurang Km. 9,3, Dusun Bulurejo, Minomartani, Ngaglik, Sleman",47000,4.5,Nasi Goreng Kambing
Tengkleng Bhenjoyo,"Jl. Parangtritis No. 18-20, Brontokusuman, Yogyakarta",50000,4.5,Tengkleng Kambing
Tengkleng Bhenjoyo,"Jl. Parangtritis No. 18-20, Brontokusuman, Yogyakarta",50000,4.5,Tongseng Kambing
Tengkleng Bhenjoyo,"Jl. Parangtritis No. 18-20, Brontokusuman, Yogyakarta",50000,4.5,Sate Kambing
Soto Tengkleng Pak Marno,"Gg. Mawar No.1, Santren, Caturtunggal, Depok, Sleman",13000,4.5,Soto Tengkleng Ayam
Soto Tengkleng Pak Marno,"Gg. Mawar No.1, Santren, Caturtunggal, Depok, Sleman",13000,4.5,Soto Tengkleng Sapi
Tengkleng Solo Timoho,"Jl. Kerto No.8, Muja Muju, Yogyakarta",39000,4.4,Tengkleng
Tengkleng Solo Timoho,"Jl. Kerto No.8, Muja Muju, Yogyakarta",39000,4.4,Sate Kambing
Tengkleng Solo Timoho,"Jl. Kerto No.8, Muja Muju, Yogyakarta",39000,4.4,Nasi Goreng Kambing
Tengkleng HOHAH,"Jl. Wonosari Km 7.5, Mantup, Baturetno, Bantul",50000,4.5,Tengkleng Kambing
Tengkleng HOHAH,"Jl. Wonosari Km 7.5, Mantup, Baturetno, Bantul",50000,4.5,Sate Kambing
Tengkleng HOHAH,"Jl. Wonosari Km 7.5, Mantup, Baturetno, Bantul",50000,4.5,Tongseng
Wedang Ronde Mbah Payem,"Jalan Kauman, Ngupasan, Gondomanan, Kota Yogyakarta",7000,4.7,Wedang Ronde
Wedang Ronde Lek Dhie,"Jalan Dagen No. 7-12, Sosromenduran, Gedong Tengen, Yogyakarta",10000,4.5,Wedang Ronde dengan Roti
Wedang Ronde Lek Dhie,"Jalan Dagen No. 7-12, Sosromenduran, Gedong Tengen, Yogyakarta",10000,4.5,Kolang Kaling
Wedang Ronde Lek Dhie,"Jalan Dagen No. 7-12, Sosromenduran, Gedong Tengen, Yogyakarta",10000,4.5,Kacang Tanah
Wedang Ronde Wasis,"Jl. Kapt. Tendean, Dongkelan Utara, Jampiroso, Kec. Temanggung, Kabupaten Temanggung, Jawa Tengah 56212",8000,4.4,Wedang Ronde Khas Temanggung
Wedang Ronde Sor Ringin,"Jalan Anggakaya 1, Depan Kantor Desa Condong Catur, Yogyakarta",10000,4.6,Wedang Ronde
Wedang Ronde Sor Ringin,"Jalan Anggakaya 1, Depan Kantor Desa Condong Catur, Yogyakarta",10000,4.6,Bakmi
Wedang Ronde Pak Jumono,"Depan GOR Universitas Negeri Yogyakarta, Sleman",7000,4.3,Wedang Ronde
Parsley Bakery & Cake Shop,"Jl. Kaliurang Km 5.3, Depok, Yogyakarta",80000,4.7,Lapis Legit
Parsley Bakery & Cake Shop,"Jl. Kaliurang Km 5.3, Depok, Yogyakarta",80000,4.7,Tiger Roll
Parsley Bakery & Cake Shop,"Jl. Kaliurang Km 5.3, Depok, Yogyakarta",80000,4.7,Croissant
Melia Bakery & Cake Tempel,"Jl. Magelang Km 18, Tempel, Sleman, Yogyakarta",49000,4.0,Lapis Legit
Melia Bakery & Cake Tempel,"Jl. Magelang Km 18, Tempel, Sleman, Yogyakarta",49000,4.0,Bolen Pisang
Melia Bakery & Cake Tempel,"Jl. Magelang Km 18, Tempel, Sleman, Yogyakarta",49000,4.0,Spekuk
Marina Cake Bakery,"Jl. Godean Km 7.3, Godean, Yogyakarta",38000,3.8,Lapis Legit
Marina Cake Bakery,"Jl. Godean Km 7.3, Godean, Yogyakarta",38000,3.8,Sobek Coklat
Marina Cake Bakery,"Jl. Godean Km 7.3, Godean, Yogyakarta",38000,3.8,Roti Pizza
Lapis Sultan Jogja,"Jl. Palagan Km 7.5 No. 8A, Sleman, Yogyakarta",75000,4.7,Lapis Legit Original
